LER	Psi	variety	drought	condition
0.151	-1.3764	c6303	fast	pre
0.211	-1.304	c6303	fast	pre
0.211	-1.2358	c6303	fast	pre
0.994	-1.0142	c6303	fast	pre
1.325	-0.9716	c6303	fast	pre
1.325	-0.8864	c6303	fast	pre
0.663	-0.8097	c6303	fast	pre
1.386	-0.5114	c6303	fast	pre
2.108	-0.3409	c6303	fast	pre
2.53	-0.3239	c6303	fast	pre
6.054	-0.1364	c6303	fast	pre
7.169	-0.1023	c6303	fast	pre
7.62	-0.081	c6303	fast	pre
0.06	-0.5678	c6303	fast	control
0.06	-0.3814	c6303	fast	control
2.617	-0.2458	c6303	fast	control
5.564	-0.2203	c6303	fast	control
6.376	-0.161	c6303	fast	control
7.248	-0.1441	c6303	fast	control
7.579	-0.1229	c6303	fast	control
0.061	-1.1483	salum	fast	pre
0.091	-1.0593	salum	fast	pre
0.152	-0.9661	salum	fast	pre
0.426	-0.9237	salum	fast	pre
0.426	-0.8644	salum	fast	pre
0.913	-0.8305	salum	fast	pre
2.312	-0.5847	salum	fast	pre
2.616	-0.4915	salum	fast	pre
5.932	-0.2203	salum	fast	pre
7.057	-0.1949	salum	fast	pre
6.601	-0.178	salum	fast	pre
6.388	-0.1441	salum	fast	pre
6.905	-0.1229	salum	fast	pre
0.03	-0.8686	salum	fast	control
0.03	-0.7966	salum	fast	control
0.122	-0.7458	salum	fast	control
0.304	-0.7203	salum	fast	control
0.943	-0.5508	salum	fast	control
1.247	-0.4576	salum	fast	control
3.103	-0.2288	salum	fast	control
4.137	-0.2034	salum	fast	control
5.475	-0.1525	salum	fast	control
4.897	-0.1186	salum	fast	control
5.475	-0.0932	salum	fast	control
5.202	-0.0551	salum	fast	control
0.152	-1.3694	kinan	fast	pre
0.636	-1.0871	kinan	fast	pre
0.909	-0.8848	kinan	fast	pre
2.152	-0.5393	kinan	fast	pre
2.606	-0.4382	kinan	fast	pre
3.333	-0.3792	kinan	fast	pre
3.394	-0.3118	kinan	fast	pre
3.636	-0.236	kinan	fast	pre
8.667	-0.2107	kinan	fast	pre
6.394	-0.1938	kinan	fast	pre
8.273	-0.1348	kinan	fast	pre
9.121	-0.118	kinan	fast	pre
9.909	-0.0885	kinan	fast	pre
0.061	-1.0829	kinan	fast	control
