               time,               Date,           Rainfall,      Inifiltration,         Runoff@end,       WaterStorage,      LeftDischarge,      RightDischarge
  36636.0000  04/20/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36637.0000  04/21/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36638.0000  04/22/2000        0.3479        0.3286        0.0000        0.0000        0.0000        0.0000
  36639.0000  04/23/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36640.0000  04/24/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36641.0000  04/25/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36642.0000  04/26/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36643.0000  04/27/2000        0.1436        0.1226        0.0000        0.0000        0.0000        0.0000
  36644.0000  04/28/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36645.0000  04/29/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36646.0000  04/30/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36647.0000  05/01/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36648.0000  05/02/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36649.0000  05/03/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36650.0000  05/04/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36651.0000  05/05/2000        0.4376        0.4159        0.0000        0.0000        0.0000        0.0000
  36652.0000  05/06/2000        1.6308        1.6071        0.0000        0.0000        0.0000        0.0000
  36653.0000  05/07/2000        0.5595        0.5380        0.0000        0.0000        0.0000        0.0000
  36654.0000  05/08/2000        2.0779        2.0300        0.0000        0.0000        0.0000        0.0000
  36655.0000  05/09/2000        1.4386        1.4227        0.0000        0.0000        0.0000        0.0000
  36656.0000  05/10/2000        0.1355        0.1140        0.0000        0.0000        0.0000        0.0000
  36657.0000  05/11/2000        0.1398        0.1266        0.0000        0.0000        0.0000        0.0000
  36658.0000  05/12/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36659.0000  05/13/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36660.0000  05/14/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36661.0000  05/15/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36662.0000  05/16/2000        0.1097        0.0961        0.0000        0.0000        0.0000        0.0000
  36663.0000  05/17/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36664.0000  05/18/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36665.0000  05/19/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36666.0000  05/20/2000        2.5849        2.5854        0.0000        0.0000        0.0000        0.0000
  36667.0000  05/21/2000        1.4250        1.4168        0.0000        0.0000        0.0000        0.0000
  36668.0000  05/22/2000        0.3894        0.3794        0.0000        0.0000        0.0000        0.0000
  36669.0000  05/23/2000        2.2516        2.2530        0.0000        0.0000        0.0000        0.0000
  36670.0000  05/24/2000        0.3438        0.3245        0.0000        0.0000        0.0000        0.0000
  36671.0000  05/25/2000        1.3266        1.3220        0.0000        0.0000        0.0000        0.0000
  36672.0000  05/26/2000        0.4676        0.4470        0.0000        0.0000        0.0000        0.0000
  36673.0000  05/27/2000        0.6252        0.6140        0.0000        0.0000        0.0000        0.0000
  36674.0000  05/28/2000        0.2006        0.1909        0.0000        0.0000        0.0000        0.0000
  36675.0000  05/29/2000        0.0000        0.0003        0.0000        0.0000        0.0000        0.0000
  36676.0000  05/30/2000        1.6393        1.6216        0.0000        0.0000        0.0000        0.0000
  36677.0000  05/31/2000        0.8378        0.8212        0.0000        0.0000        0.0000        0.0000
  36678.0000  06/01/2000       12.3764       12.1062        0.0000        0.0000        0.0000        0.0000
  36679.0000  06/02/2000       11.1387       11.0484        0.0000        0.0000        0.0000        0.0000
  36680.0000  06/03/2000        4.7021        4.7023        0.0000        0.0000        0.0000        0.0000
  36681.0000  06/04/2000        0.4412        0.4248        0.0000        0.0000        0.0000        0.0000
  36682.0000  06/05/2000        6.7427        6.7427        0.0000        0.0000        0.0000        0.0000
  36683.0000  06/06/2000        2.1005        2.1006        0.0000        0.0000        0.0000        0.0000
  36684.0000  06/07/2000        0.0300        0.0301        0.0000        0.0000        0.0000        0.0000
  36685.0000  06/08/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36686.0000  06/09/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36687.0000  06/10/2000        0.4303        0.4190        0.0000        0.0000        0.0000        0.0000
  36688.0000  06/11/2000        0.2030        0.1942        0.0000        0.0000        0.0000        0.0000
  36689.0000  06/12/2000        0.4330        0.4288        0.0000        0.0000        0.0000        0.0000
  36690.0000  06/13/2000        5.3126        5.3037        0.0000        0.0000        0.0000        0.0000
  36691.0000  06/14/2000        0.4085        0.4031        0.0000        0.0000        0.0000        0.0000
  36692.0000  06/15/2000        0.0649        0.0617        0.0000        0.0000        0.0000        0.0000
  36693.0000  06/16/2000        7.1505        7.1487        0.0000        0.0000        0.0000        0.0000
  36694.0000  06/17/2000        1.9928        1.9930        0.0000        0.0000        0.0000        0.0000
  36695.0000  06/18/2000        1.6270        1.6272        0.0000        0.0000        0.0000        0.0000
  36696.0000  06/19/2000        0.0601        0.0597        0.0000        0.0000        0.0000        0.0000
  36697.0000  06/20/2000        0.2684        0.2673        0.0000        0.0000        0.0000        0.0000
  36698.0000  06/21/2000        0.5830        0.5830        0.0000        0.0000        0.0000        0.0000
  36699.0000  06/22/2000        4.0893        4.0894        0.0000        0.0000        0.0000        0.0000
  36700.0000  06/23/2000        5.5190        5.5194        0.0000        0.0000        0.0000        0.0000
  36701.0000  06/24/2000        2.2018        2.2020        0.0000        0.0000        0.0000        0.0000
  36702.0000  06/25/2000        0.1364        0.1366        0.0000        0.0000        0.0000        0.0000
  36703.0000  06/26/2000        0.0835        0.0825        0.0000        0.0000        0.0000        0.0000
  36704.0000  06/27/2000        0.8703        0.8694        0.0000        0.0000        0.0000        0.0000
  36705.0000  06/28/2000        0.2990        0.2989        0.0000        0.0000        0.0000        0.0000
  36706.0000  06/29/2000        0.2386        0.2380        0.0000        0.0000        0.0000        0.0000
  36707.0000  06/30/2000        0.3016        0.3011        0.0000        0.0000        0.0000        0.0000
  36708.0000  07/01/2000        8.5568        8.5568        0.0000        0.0000        0.0000        0.0000
  36709.0000  07/02/2000       13.1960       13.1934        0.0000        0.0000        0.0000        0.0000
  36710.0000  07/03/2000        2.2686        2.2677        0.0000        0.0000        0.0000        0.0000
  36711.0000  07/04/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36712.0000  07/05/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36713.0000  07/06/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36714.0000  07/07/2000        0.0532        0.0532        0.0000        0.0000        0.0000        0.0000
  36715.0000  07/08/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36716.0000  07/09/2000        0.0745        0.0743        0.0000        0.0000        0.0000        0.0000
  36717.0000  07/10/2000        1.1351        1.1352        0.0000        0.0000        0.0000        0.0000
  36718.0000  07/11/2000        0.2571        0.2575        0.0000        0.0000        0.0000        0.0000
  36719.0000  07/12/2000        0.0269        0.0267        0.0000        0.0000        0.0000        0.0000
  36720.0000  07/13/2000        0.0269        0.0267        0.0000        0.0000        0.0000        0.0000
  36721.0000  07/14/2000        0.0532        0.0530        0.0000        0.0000        0.0000        0.0000
  36722.0000  07/15/2000        0.0865        0.0866        0.0000        0.0000        0.0000        0.0000
  36723.0000  07/16/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36724.0000  07/17/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36725.0000  07/18/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36726.0000  07/19/2000        0.0426        0.0422        0.0000        0.0000        0.0000        0.0000
  36727.0000  07/20/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36728.0000  07/21/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36729.0000  07/22/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36730.0000  07/23/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36731.0000  07/24/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36732.0000  07/25/2000        0.2352        0.2345        0.0000        0.0000        0.0000        0.0000
  36733.0000  07/26/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36734.0000  07/27/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36735.0000  07/28/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36736.0000  07/29/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36737.0000  07/30/2000        5.0730        5.0736        0.0000        0.0000        0.0000        0.0000
  36738.0000  07/31/2000        0.2465        0.2464        0.0000        0.0000        0.0000        0.0000
  36739.0000  08/01/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36740.0000  08/02/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36741.0000  08/03/2000        2.1655        2.1661        0.0000        0.0000        0.0000        0.0000
  36742.0000  08/04/2000        0.0000        0.0002        0.0000        0.0000        0.0000        0.0000
  36743.0000  08/05/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36744.0000  08/06/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36745.0000  08/07/2000        0.2345        0.2344        0.0000        0.0000        0.0000        0.0000
  36746.0000  08/08/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36747.0000  08/09/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36748.0000  08/10/2000        3.5770        3.5775        0.0000        0.0000        0.0000        0.0000
  36749.0000  08/11/2000        0.3405        0.3397        0.0000        0.0000        0.0000        0.0000
  36750.0000  08/12/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36751.0000  08/13/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36752.0000  08/14/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36753.0000  08/15/2000        1.2865        1.2875        0.0000        0.0000        0.0000        0.0000
  36754.0000  08/16/2000        1.0468        1.0458        0.0000        0.0000        0.0000        0.0000
  36755.0000  08/17/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36756.0000  08/18/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36757.0000  08/19/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36758.0000  08/20/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36759.0000  08/21/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36760.0000  08/22/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36761.0000  08/23/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36762.0000  08/24/2000        0.4288        0.4295        0.0000        0.0000        0.0000        0.0000
  36763.0000  08/25/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36764.0000  08/26/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36765.0000  08/27/2000        0.2320        0.2320        0.0000        0.0000        0.0000        0.0000
  36766.0000  08/28/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36767.0000  08/29/2000        0.7694        0.7697        0.0000        0.0000        0.0000        0.0000
  36768.0000  08/30/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36769.0000  08/31/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36770.0000  09/01/2000        1.2613        1.2626        0.0000        0.0000        0.0000        0.0000
  36771.0000  09/02/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36772.0000  09/03/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36773.0000  09/04/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36774.0000  09/05/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36775.0000  09/06/2000        0.3027        0.3024        0.0000        0.0000        0.0000        0.0000
  36776.0000  09/07/2000        0.0426        0.0422        0.0000        0.0000        0.0000        0.0000
  36777.0000  09/08/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36778.0000  09/09/2000        0.7063        0.7075        0.0000        0.0000        0.0000        0.0000
  36779.0000  09/10/2000        0.0241        0.0243        0.0000        0.0000        0.0000        0.0000
  36780.0000  09/11/2000        0.0000        0.0001        0.0000        0.0000        0.0000        0.0000
  36781.0000  09/12/2000        0.2523        0.2528        0.0000        0.0000        0.0000        0.0000
  36782.0000  09/13/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36783.0000  09/14/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36784.0000  09/15/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36785.0000  09/16/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36786.0000  09/17/2000        3.4460        3.4429        0.0000        0.0000        0.0000        0.0000
  36787.0000  09/18/2000        0.1306        0.1294        0.0000        0.0000        0.0000        0.0000
  36788.0000  09/19/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36789.0000  09/20/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36790.0000  09/21/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36791.0000  09/22/2000        0.0269        0.0266        0.0000        0.0000        0.0000        0.0000
  36792.0000  09/23/2000        0.0269        0.0265        0.0000        0.0000        0.0000        0.0000
  36793.0000  09/24/2000        0.0269        0.0265        0.0000        0.0000        0.0000        0.0000
  36794.0000  09/25/2000        0.0777        0.0778        0.0000        0.0000        0.0000        0.0000
  36795.0000  09/26/2000        0.0432        0.0427        0.0000        0.0000        0.0000        0.0000
  36796.0000  09/27/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36797.0000  09/28/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  36798.0000  09/29/2000        0.0638        0.0634        0.0000        0.0000        0.0000        0.0000
  36799.0000  09/30/2000        0.0269        0.0263        0.0000        0.0000        0.0000        0.0000
  36800.0000  10/01/2000        0.0000        0.0000        0.0000        0.0000        0.0000        0.0000
